Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
18	-382.34445	180.0738	-133.81444	-1212.0007	256.0	0.0	256.0	256.0	-384.95508	87.8187	-313.79327	-1014.08264	486400	-3.5762786e-09	22874.346	-0.0015055274	-180.26562	1.9601206	2.5778875	0.013466885	-2.3748725e-10	0.16644531	0.0	79.0	-331.0421	51.302338	51.302338	3038.7902579307556
19	-351.38306	133.16829	-125.9867	-854.7924	256.0	0.0	256.0	256.0	-378.63193	93.53127	-307.41974	-1014.3689	512000	2.3841857e-09	14735.009	-0.0016209268	-1444.456	1.8963952	2.5817719	0.007476479	4.414469e-09	0.09871094	0.0	79.0	-303.20517	48.177963	48.177963	3208.6419355869293
20	-360.56296	211.0984	-98.75973	-1439.4329	256.0	0.0	256.0	256.0	-355.5559	95.46297	-296.10803	-1235.434	537600	-2.2649765e-08	30117.275	-0.0010889506	-857.6074	1.8178684	2.5790582	0.00874012	-3.5855918e-09	0.14257812	0.0	79.0	-298.0072	62.555763	62.555763	3376.7410163879395
21	-323.10675	120.79121	-136.0668	-992.7929	256.0	0.0	256.0	256.0	-342.45645	74.02636	-290.25592	-951.0165	563200	-6.556511e-09	12810.4	-0.0015449543	-951.91406	1.8059653	2.5810812	0.008993122	6.07688e-09	0.12660156	0.0	79.0	-276.3351	46.771626	46.771626	3538.847238779068
22	-310.21548	130.54912	-83.24693	-791.4466	256.0	0.0	256.0	256.0	-327.89523	68.78409	-280.04483	-972.4867	588800	-4.7683715e-09	12489.13	-0.0013359368	-377.34766	1.8383182	2.578372	0.008891939	-1.7676502e-08	0.13121094	0.0	79.0	-249.88765	60.327835	60.327835	3706.938855409622
23	-307.8821	136.37994	-122.247765	-852.34735	256.0	0.0	256.0	256.0	-308.907	73.041245	-263.07184	-956.898	614400	4.7683715e-09	13904.268	-0.0017007112	-28.72754	1.7673036	2.581708	0.0138831	1.1767261e-08	0.18636718	0.0	79.0	-256.57202	51.31008	51.31008	3875.4329104423523
24	-303.30807	116.27611	-82.941635	-592.06616	256.0	0.0	256.0	256.0	-301.97638	51.49845	-263.0654	-643.4018	640000	6.556511e-09	10057.597	-0.0017623943	-83.56543	1.7417377	2.5814288	0.009167432	9.741634e-09	0.124101564	0.0	79.0	-246.57703	56.731075	56.731075	4044.777280807495
25	-316.4931	127.91029	-109.985664	-698.7921	256.0	0.0	256.0	256.0	-308.70587	63.068634	-261.693	-887.91724	665600	3.5762786e-09	13539.202	-0.0015353871	-140.98926	1.7200245	2.5812213	0.008221705	9.1269614e-10	0.110390626	0.0	79.0	-265.11102	51.382065	51.382065	4205.246211767197
26	-287.27063	123.38115	-109.4242	-620.0494	256.0	0.0	256.0	256.0	-311.36786	53.0689	-272.4338	-752.4968	691200	1.5497207e-08	11877.817	-0.0014465427	-675.08203	1.5907403	2.5827436	0.009822313	8.08388e-09	0.102890626	0.0	79.0	-236.58028	50.6904	50.6904	4374.086622714996
27	-303.08282	139.11932	-116.98227	-897.2581	256.0	0.0	256.0	256.0	-291.20587	71.828804	-245.40767	-999.2171	716800	-1.013279e-08	13499.072	-0.0013406676	-286.40137	1.5918474	2.5829186	0.005970745	-9.099022e-09	0.09109375	0.0	79.0	-255.07605	48.006786	48.006786	4543.239839792252
28	-283.71503	134.37732	-102.98373	-839.81165	256.0	0.0	256.0	256.0	-299.004	74.36328	-253.60983	-913.4099	742400	-5.9604646e-09	12391.38	-0.0016169942	-263.40527	1.5289404	2.5848858	0.0089100655	1.1129305e-08	0.118125	0.0	79.0	-239.98715	43.727867	43.727867	4709.107508897781
29	-288.74707	148.00117	-80.55158	-1036.4655	256.0	0.0	256.0	256.0	-287.03665	88.07362	-235.95354	-1022.0139	768000	1.4305114e-08	14688.199	-0.002475295	-94.58789	1.4910022	2.581106	0.015092463	-1.0896474e-09	0.2070703	0.0	76.0	-249.19728	39.54981	39.54981	4872.912494659424
30	-259.49585	111.42172	-102.34596	-724.78564	256.0	0.0	256.0	256.0	-279.63596	58.50785	-240.19983	-848.3957	793600	8.34465e-09	10428.759	-0.0012627817	-478.4746	1.4428535	2.579309	0.0038960068	1.66893e-08	0.071875	0.0	79.0	-201.65591	57.83993	57.83993	5036.398162126541
31	-258.42685	108.95656	-102.092606	-563.8241	256.0	0.0	256.0	256.0	-259.19003	46.268833	-222.19432	-644.8609	819200	1.5497207e-08	9292.454	-0.0006090307	-74.26953	1.4817227	2.577929	0.005222188	-2.59839e-09	0.07429688	0.0	79.0	-210.06433	48.362484	48.362484	5203.6897757053375
32	-246.18501	96.86409	-79.58958	-607.739	256.0	0.0	256.0	256.0	-258.2468	50.34924	-220.39328	-763.2063	844800	-4.172325e-09	7413.7095	-0.0014005512	-183.79834	1.4703304	2.5802412	0.005259037	-1.1692755e-08	0.04910156	0.0	79.0	-193.73975	52.445312	52.445312	5370.296463012695
33	-261.9348	130.81407	-99.145164	-881.8036	256.0	0.0	256.0	256.0	-249.47833	56.443	-211.25096	-780.80853	870400	-2.0861626e-09	13322.78	-0.0013398704	-273.70508	1.4300897	2.581399	0.004479834	1.4319085e-08	0.05703125	0.0	79.0	-218.02129	43.913555	43.913555	5535.339737892151
34	-232.9658	93.17377	-67.42799	-668.18744	256.0	0.0	256.0	256.0	-256.5562	50.238102	-219.48795	-829.33325	896000	-3.5762786e-09	7779.489	-0.0012262189	-677.29395	1.4870013	2.5863116	0.0073402943	-6.975606e-09	0.08078125	0.0	79.0	-185.5017	47.46408	47.46408	5703.437866449356
35	-274.2324	110.61032	-113.7613	-744.3322	256.0	0.0	256.0	256.0	-236.57352	47.15211	-197.90198	-719.2189	921600	1.4305114e-08	11161.81	-0.00065805437	-1426.0967	1.4851468	2.5757818	0.0027376395	7.865019e-09	0.028085938	0.0	79.0	-222.55016	51.68222	51.68222	5869.542108058929
36	-260.1219	138.4564	-92.6179	-1134.0726	256.0	0.0	256.0	256.0	-272.83087	50.647465	-233.49397	-742.2995	947200	5.9604646e-09	16084.866	-0.001092881	-247.61523	1.5064292	2.5740347	0.00912236	-8.339994e-09	0.12109375	0.0	79.0	-200.97124	59.150665	59.150665	6029.497534036636
37	-244.33072	125.758125	-80.94669	-1090.4489	256.0	0.0	256.0	256.0	-252.54999	48.50951	-215.31769	-906.9344	972800	6.2584875e-09	12105.995	-0.0018123594	-242.31348	1.4768546	2.5784814	0.007860031	-2.0130537e-08	0.111132815	0.0	79.0	-202.83652	41.494198	41.494198	6196.11240696907
38	-234.23067	103.934685	-102.26181	-810.02734	256.0	0.0	256.0	256.0	-246.65117	63.429363	-204.65111	-944.2513	998400	4.7683715e-09	8305.815	-0.0012997603	-300.67334	1.4913971	2.5799148	0.0062059783	-5.2154064e-10	0.0984375	0.0	79.0	-180.09712	54.13354	54.13354	6365.9297795295715
39	-232.28967	91.28238	-62.158363	-537.4867	256.0	0.0	256.0	256.0	-231.9504	43.25474	-195.82129	-617.26886	1024000	-1.1920929e-08	6374.828	-0.00157035	-19.562988	1.5332134	2.5749478	0.0076519703	1.7811544e-08	0.10253906	0.0	79.0	-188.1188	44.170864	44.170864	6526.471980333328
40	-264.75488	125.12032	-105.244896	-714.27563	256.0	0.0	256.0	256.0	-239.81192	61.59744	-196.29271	-859.2294	1049600	7.152557e-09	11820.888	-0.0017921376	-706.48047	1.5301843	2.5814147	0.009777425	-6.1746688e-09	0.13226563	0.0	79.0	-206.1868	58.568077	58.568077	6698.318897724152
41	-263.7201	117.90767	-89.23561	-574.63257	256.0	0.0	256.0	256.0	-264.2733	65.181465	-216.33333	-764.17084	1075200	8.940697e-09	9572.743	-0.0016979147	-91.33789	1.4791559	2.5804582	0.011448371	1.1702068e-08	0.14183594	0.0	79.0	-218.85591	44.864136	44.864136	6868.887007236481
42	-274.31946	116.8472	-77.327805	-718.84875	256.0	0.0	256.0	256.0	-268.9775	70.50481	-215.33385	-840.83514	1100800	2.3841857e-09	10249.467	-0.0010582631	-214.3252	1.4668586	2.5775993	0.0034144497	-2.1881425e-08	0.058828127	0.0	79.0	-213.14647	61.17301	61.17301	7038.927346229553
43	-265.9098	141.36642	-84.891266	-1117.4197	256.0	0.0	256.0	256.0	-268.2217	59.219086	-229.78351	-819.84094	1126400	-1.1920929e-09	15181.9	-0.0012252611	-238.31836	1.3721113	2.5799823	0.0051664873	1.578126e-08	0.07035156	0.0	79.0	-225.21138	40.698376	40.698376	7205.167634725571
44	-249.36942	100.591606	-116.49634	-744.0981	256.0	0.0	256.0	256.0	-261.8982	62.621246	-218.68178	-1038.2782	1152000	4.7683715e-09	8544.485	-0.0017437601	-483.8877	1.3572257	2.5842633	0.0036072494	-5.6857243e-09	0.06355469	0.0	79.0	-186.64842	62.72097	62.72097	7368.542968034744
45	-247.32437	93.05955	-133.32635	-616.8735	256.0	0.0	256.0	256.0	-249.633	41.69696	-205.50566	-728.23584	1177600	5.9604646e-09	7206.263	-0.0013258004	-137.59521	1.3692697	2.5740893	0.00821219	3.837049e-09	0.115546875	0.0	79.0	-177.20956	70.1148	70.1148	7530.489426612854
46	-258.03394	109.414055	-94.50373	-807.6258	256.0	0.0	256.0	256.0	-250.76604	48.90991	-218.15306	-896.17206	1203200	-2.3841857e-09	8553.273	-0.0012355066	-320.875	1.3235047	2.5818822	0.003166438	-1.4086254e-08	0.040625	0.0	79.0	-210.44666	47.5873	47.5873	7700.450722694397
47	-237.1174	81.18657	-82.072075	-550.67224	256.0	0.0	256.0	256.0	-251.73883	51.21694	-214.1423	-725.428	1228800	-7.0035457e-09	5738.141	-0.0015021525	-446.0835	1.3166541	2.58102	0.007480679	7.441267e-09	0.08671875	0.0	79.0	-181.37207	55.745323	55.745323	7867.102402687073
