Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
18	-8.435108	9.0675745	-1.0	-59.342915	256.0	0.0	256.0	256.0	-9.512479	3.6709552	-7.1857524	-46.285442	486400	-5.9604646e-09	72.4	-0.001476369	-1.7037811	0.13188234	1.6634212	0.00036090374	0.0066840933	0.011835937	0.07910156	79.0	7.227461	15.662568	15.662568	2403.718017578125
19	-11.102394	11.479578	-1.0	-54.68515	256.0	0.0	256.0	256.0	-8.823954	4.0285726	-6.6502566	-51.399433	512000	5.9604646e-09	115.956154	-0.003003539	-6.337387	0.16216938	1.6129549	0.0007406242	0.020307712	0.01171875	0.36316407	79.0	13.429968	24.532364	24.532364	2525.333732843399
20	-9.562658	10.930446	-1.0	-50.238567	256.0	0.0	256.0	256.0	-11.055645	4.4239287	-8.279351	-53.293583	537600	7.152557e-09	98.46921	-0.0023390257	-2.8160934	0.15259983	1.5532528	0.00010664923	0.017822446	0.0040625	0.33125	79.0	14.0909	23.653559	23.653559	2651.36602640152
21	-8.902442	9.711269	-1.0	-55.86511	256.0	0.0	256.0	256.0	-9.484793	4.321898	-6.9395137	-46.645016	563200	-2.3841857e-09	82.037445	-0.0012351943	-1.5145264	0.14755209	1.4687189	7.073514e-05	0.012705161	0.0033984375	0.25304687	79.0	13.909601	22.812044	22.812044	2778.6771523952484
22	-8.957037	10.018953	-1.0	-44.52691	256.0	0.0	256.0	256.0	-8.909708	3.6352854	-6.655484	-69.94709	588800	-5.9604646e-09	84.588905	-0.0018385005	-0.7144623	0.15231796	1.3808147	4.078653e-05	0.014576426	0.0039453125	0.17070313	79.0	11.63348	20.590515	20.590515	2901.9583547115326
23	-8.325664	9.733444	-1.0	-44.40327	256.0	0.0	256.0	256.0	-8.916592	3.7736757	-6.253751	-48.671574	614400	7.152557e-09	77.10382	-0.0016272569	-0.74087524	0.14798145	1.279731	-2.0458976e-05	0.0076826704	0.000546875	0.11703125	79.0	12.817994	21.14366	21.14366	3026.6451098918915
24	-7.2272506	8.468493	-1.0	-50.2303	256.0	0.0	256.0	256.0	-8.093511	3.6874156	-5.7386165	-47.816444	640000	1.1920929e-08	61.579044	-0.0024093103	-1.3439941	0.12366398	1.307859	0.00026353466	0.01195522	0.0103125	0.16769531	79.0	10.691012	17.918262	17.918262	3153.4117126464844
25	-6.0528646	6.416808	-1.0	-36.698063	256.0	0.0	256.0	256.0	-6.9125237	2.427379	-5.240183	-33.440155	665600	-4.7683715e-09	37.72397	-0.0014688969	-0.98578644	0.09028597	1.2176119	-9.9846104e-05	0.0064026713	0.003828125	0.09503906	79.0	4.5858793	10.638744	10.638744	3277.7728519439697
26	-7.8734803	8.270428	-1.0	-42.593803	256.0	0.0	256.0	256.0	-6.386037	2.803798	-4.5385833	-31.981003	691200	2.3841857e-09	61.588898	-0.0019251537	-2.6880493	0.13069092	1.2059639	0.00039112318	0.012116904	0.0071875	0.24085937	79.0	12.313976	20.187456	20.187456	3406.6469509601593
27	-8.8462105	9.287227	-1.0	-41.568256	256.0	0.0	256.0	256.0	-7.989859	3.5215077	-5.270462	-55.782738	716800	-1.1920929e-08	74.112816	-0.0012069893	-1.2279053	0.14117493	1.1360459	-4.5790865e-05	0.0026608612	0.003828125	0.02	79.0	13.2184105	22.06462	22.06462	3530.543893814087
