Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
19	-53.88177	73.75588	-1.1221575	-357.8816	256.0	0.0	256.0	256.0	-42.674942	34.139133	-27.198307	-394.9926	512000	-4.7683715e-09	3835.7031	-2.9024483e-05	-224.8518	0.61360145	2.2461576	3.1736367e-05	0.0	0.0	0.0	79.0	-29.34941	24.532364	24.532364	3297.016140937805
20	-49.976376	73.378815	-1.0	-455.73822	256.0	0.0	256.0	256.0	-54.689037	43.635647	-34.499207	-522.38434	537600	4.7683715e-09	3252.8403	-1.867771e-05	-77.57715	0.60918736	2.2546918	-2.430341e-05	0.0	0.0	0.0	79.0	-26.322815	23.653559	23.653559	3462.973849773407
21	-54.719154	66.9896	-1.0	-355.98145	256.0	0.0	256.0	256.0	-50.84251	49.431095	-28.634298	-449.0889	563200	-8.34465e-09	3473.932	-0.00022640706	-214.02466	0.6056842	2.251779	0.0001296634	0.0	0.0	0.0	79.0	-31.907106	22.812044	22.812044	3627.049210548401
22	-46.3141	58.33538	-1.0251116	-272.20282	256.0	0.0	256.0	256.0	-51.790436	26.828049	-37.68661	-250.06493	588800	-7.152557e-09	2447.0276	-8.630991e-05	-78.96094	0.5908497	2.2569168	1.4689935e-05	0.0	0.0	0.0	79.0	-25.72358	20.590515	20.590515	3791.7799775600433
23	-51.347446	70.994675	-1.1275173	-342.7867	256.0	0.0	256.0	256.0	-49.131187	41.354763	-29.324265	-404.7433	614400	1.3113022e-08	3167.475	-0.00017657995	-42.74536	0.6104603	2.2474704	-2.5736715e-06	0.0	0.0	0.0	79.0	-30.20379	21.14366	21.14366	3954.5636072158813
24	-44.137184	52.21483	-1.9134341	-276.49008	256.0	0.0	256.0	256.0	-46.751854	31.24607	-25.97682	-340.1593	640000	5.9604646e-09	2006.7131	-0.00014670016	-42.576538	0.54854536	2.2677987	5.857686e-05	0.0	0.0	0.0	79.0	-26.218925	17.918262	17.918262	4120.679634094238
25	-27.903261	34.46261	-1.2373148	-248.66695	256.0	0.0	256.0	256.0	-40.368217	16.700283	-26.569008	-301.36346	665600	4.7683715e-09	1053.1288	-3.5704375e-05	-163.70917	0.4230554	2.2787368	-2.2815733e-05	0.0	0.0	0.0	79.0	-17.264519	10.638744	10.638744	4287.833391189575
26	-51.061413	67.88571	-1.0	-377.1737	256.0	0.0	256.0	256.0	-34.185623	33.377163	-17.240307	-364.15982	691200	4.7683715e-09	3469.547	-0.00045141936	-340.42065	0.61560583	2.2473943	6.728692e-05	0.0	0.0	0.0	79.0	-30.87396	20.187456	20.187456	4453.296547412872
27	-45.128872	53.307846	-1.7073439	-225.732	256.0	0.0	256.0	256.0	-49.00979	32.977398	-32.15429	-376.38986	716800	1.7881393e-09	2068.2358	-0.00032447278	-46.886963	0.5650799	2.2582793	1.5080423e-05	0.0	0.0	0.0	79.0	-23.06425	22.06462	22.06462	4620.991554021835
28	-48.289814	74.881645	-1.0111955	-538.44977	256.0	0.0	256.0	256.0	-46.654278	37.21923	-28.18868	-544.41095	742400	7.7486035e-09	3630.002	-0.00039266646	-114.14917	0.58091664	2.2537262	0.00022083402	0.0	0.0	0.0	79.0	-24.158447	24.131363	24.131363	4785.048005819321
29	-46.53999	58.973705	-1.7381611	-345.82156	256.0	0.0	256.0	256.0	-47.35069	38.77689	-27.934265	-454.29782	768000	-1.4305114e-08	2401.7275	-0.00037897823	-61.83496	0.60995525	2.254552	0.0001569913	0.0	7.8125e-05	0.0	79.0	-23.815825	22.724165	22.724165	4951.237452745438
