iteration scheduler BSLD AVGW AVGT SLD
7 fb 1.0 0.0 5217.98046875 1.0
7 ff 1.0 0.0 5217.98046875 1.0
7 sr 1.0 0.0 5217.98046875 1.0
7 sb 1.0 0.0 5217.98046875 1.0
7 sf 1.0 0.0 5217.98046875 1.0
7 lr 1.0 0.0 5217.98046875 1.0
7 lb 1.0 0.0 5217.98046875 1.0
7 lf 1.0 0.0 5217.98046875 1.0
7 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 5223.076152801514 1.0009765625
7 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 5223.08112905547 1.0009775161743164
8 rr 1.0 0.0 4728.59765625 1.0
8 rb 1.0 0.0 4728.59765625 1.0
8 rf 1.0 0.0 4728.59765625 1.0
8 fr 1.0 0.0 4728.59765625 1.0
8 fb 1.0 0.0 4728.59765625 1.0
8 ff 1.0 0.0 4728.59765625 1.0
8 sr 1.0 0.0 4728.59765625 1.0
8 sb 1.0 0.0 4728.59765625 1.0
8 sf 1.0 0.0 4728.59765625 1.0
8 lr 1.0 0.0 4728.59765625 1.0
8 lb 1.0 0.0 4728.59765625 1.0
8 lf 1.0 0.0 4728.59765625 1.0
8 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 4733.215427398682 1.0009765625
8 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 4733.219936940819 1.0009775161743164
9 rr 1.0 0.0 5209.19921875 1.0
9 rb 1.0 0.0 5209.19921875 1.0
9 rf 1.0 0.0 5209.19921875 1.0
9 fr 1.0 0.0 5209.19921875 1.0
9 fb 1.0 0.0 5209.19921875 1.0
9 ff 1.0 0.0 5209.19921875 1.0
9 sr 1.0 0.0 5209.19921875 1.0
9 sb 1.0 0.0 5209.19921875 1.0
9 sf 1.0 0.0 5209.19921875 1.0
9 lr 1.0 0.0 5209.19921875 1.0
9 lb 1.0 0.0 5209.19921875 1.0
9 lf 1.0 0.0 5209.19921875 1.0
9 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 5214.286327362061 1.0009765625
9 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 5214.2912952415645 1.0009775161743164
10 rr 1.0 0.0 4777.2412109375 1.0
10 rb 1.0 0.0 4777.2412109375 1.0
10 rf 1.0 0.0 4777.2412109375 1.0
10 fr 1.0 0.0 4777.2412109375 1.0
10 fb 1.0 0.0 4777.2412109375 1.0
10 ff 1.0 0.0 4777.2412109375 1.0
10 sr 1.0 0.0 4777.2412109375 1.0
10 sb 1.0 0.0 4777.2412109375 1.0
10 sf 1.0 0.0 4777.2412109375 1.0
10 lr 1.0 0.0 4777.2412109375 1.0
10 lb 1.0 0.0 4777.2412109375 1.0
10 lf 1.0 0.0 4777.2412109375 1.0
10 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 4781.906485557556 1.0009765625
10 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 4781.911041489802 1.0009775161743164
11 rr 1.0 0.0 4873.76953125 1.0
11 rb 1.0 0.0 4873.76953125 1.0
11 rf 1.0 0.0 4873.76953125 1.0
11 fr 1.0 0.0 4873.76953125 1.0
11 fb 1.0 0.0 4873.76953125 1.0
11 ff 1.0 0.0 4873.76953125 1.0
11 sr 1.0 0.0 4873.76953125 1.0
11 sb 1.0 0.0 4873.76953125 1.0
11 sf 1.0 0.0 4873.76953125 1.0
11 lr 1.0 0.0 4873.76953125 1.0
11 lb 1.0 0.0 4873.76953125 1.0
11 lf 1.0 0.0 4873.76953125 1.0
11 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 4878.529071807861 1.0009765625
11 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 4878.533719796687 1.0009775161743164
12 rr 1.0 0.0 5108.8359375 1.0
12 rb 1.0 0.0 5108.8359375 1.0
12 rf 1.0 0.0 5108.8359375 1.0
12 fr 1.0 0.0 5108.8359375 1.0
12 fb 1.0 0.0 5108.8359375 1.0
12 ff 1.0 0.0 5108.8359375 1.0
12 sr 1.0 0.0 5108.8359375 1.0
12 sb 1.0 0.0 5108.8359375 1.0
12 sf 1.0 0.0 5108.8359375 1.0
12 lr 1.0 0.0 5108.8359375 1.0
12 lb 1.0 0.0 5108.8359375 1.0
12 lf 1.0 0.0 5108.8359375 1.0
12 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 5113.825035095215 1.0009765625
12 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 5113.829907260835 1.0009775161743164
13 rr 1.0 0.0 4649.6201171875 1.0
13 rb 1.0 0.0 4649.6201171875 1.0
13 rf 1.0 0.0 4649.6201171875 1.0
13 fr 1.0 0.0 4649.6201171875 1.0
13 fb 1.0 0.0 4649.6201171875 1.0
13 ff 1.0 0.0 4649.6201171875 1.0
13 sr 1.0 0.0 4649.6201171875 1.0
13 sb 1.0 0.0 4649.6201171875 1.0
13 sf 1.0 0.0 4649.6201171875 1.0
13 lr 1.0 0.0 4649.6201171875 1.0
13 lb 1.0 0.0 4649.6201171875 1.0
13 lf 1.0 0.0 4649.6201171875 1.0
13 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 4654.160761833191 1.0009765625
13 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 4654.165196056478 1.0009775161743164
14 rr 1.0 0.0 4838.7666015625 1.0
14 rb 1.0 0.0 4838.7666015625 1.0
14 rf 1.0 0.0 4838.7666015625 1.0
14 fr 1.0 0.0 4838.7666015625 1.0
14 fb 1.0 0.0 4838.7666015625 1.0
14 ff 1.0 0.0 4838.7666015625 1.0
14 sr 1.0 0.0 4838.7666015625 1.0
14 sb 1.0 0.0 4838.7666015625 1.0
14 sf 1.0 0.0 4838.7666015625 1.0
14 lr 1.0 0.0 4838.7666015625 1.0
14 lb 1.0 0.0 4838.7666015625 1.0
14 lf 1.0 0.0 4838.7666015625 1.0
14 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 4843.491959571838 1.0009765625
14 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 4843.496574179269 1.0009775161743164
15 rr 1.0 0.0 4501.029296875 1.0
15 rb 1.0 0.0 4501.029296875 1.0
15 rf 1.0 0.0 4501.029296875 1.0
15 fr 1.0 0.0 4501.029296875 1.0
15 fb 1.0 0.0 4501.029296875 1.0
15 ff 1.0 0.0 4501.029296875 1.0
15 sr 1.0 0.0 4501.029296875 1.0
15 sb 1.0 0.0 4501.029296875 1.0
15 sf 1.0 0.0 4501.029296875 1.0
15 lr 1.0 0.0 4501.029296875 1.0
15 lb 1.0 0.0 4501.029296875 1.0
15 lf 1.0 0.0 4501.029296875 1.0
15 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 4505.4248332977295 1.0009765625
15 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 4505.429125813767 1.0009775161743164
16 rr 1.0 0.0 4749.931640625 1.0
16 rb 1.0 0.0 4749.931640625 1.0
16 rf 1.0 0.0 4749.931640625 1.0
16 fr 1.0 0.0 4749.931640625 1.0
16 fb 1.0 0.0 4749.931640625 1.0
16 ff 1.0 0.0 4749.931640625 1.0
16 sr 1.0 0.0 4749.931640625 1.0
16 sb 1.0 0.0 4749.931640625 1.0
16 sf 1.0 0.0 4749.931640625 1.0
16 lr 1.0 0.0 4749.931640625 1.0
16 lb 1.0 0.0 4749.931640625 1.0
16 lf 1.0 0.0 4749.931640625 1.0
16 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 4754.570245742798 1.0009765625
16 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 4754.574775630608 1.0009775161743164
17 rr 1.0 0.0 4765.5771484375 1.0
17 rb 1.0 0.0 4765.5771484375 1.0
17 rf 1.0 0.0 4765.5771484375 1.0
17 fr 1.0 0.0 4765.5771484375 1.0
