Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
17	-11.902318	13.744837	-1.0	-70.47084	256.0	0.0	256.0	256.0	-12.946377	6.4445653	-9.941499	-84.36839	460800	1.66893e-08	1.66893e-08	159.02625	-0.00093992235	-2.5086212	0.24339442	1.8575363	0.00037834063	0.0032190485	0.007265625	0.024804687	79.0	8.946382	20.8487	20.8487	2294.588257789612
18	-10.488809	13.041026	-1.0	-63.728477	256.0	0.0	256.0	256.0	-11.762664	5.5814004	-9.304189	-105.10785	486400	1.4305114e-08	1.1920929e-08	139.53462	-0.00071449816	-2.6201477	0.21244602	1.8445063	0.00054951047	0.0038498403	0.0037890626	0.015351563	79.0	5.1737604	15.662568	15.662568	2425.3734378814697
19	-12.282463	14.106627	-1.0	-60.805275	256.0	0.0	256.0	256.0	-11.010017	6.837637	-7.6689515	-87.39453	512000	1.1920929e-09	1.1920929e-09	162.87566	-0.0009567523	-3.3138733	0.2439666	1.8052533	-0.00012959912	0.003828603	0.0025	0.028984375	79.0	12.249897	24.532364	24.532364	2549.8034954071045
20	-10.914708	14.2780695	-1.0	-64.930214	256.0	0.0	256.0	256.0	-12.169845	6.0096617	-8.889133	-69.27626	537600	5.9604646e-09	7.152557e-09	158.53587	-0.0006301188	-3.548996	0.22276013	1.7872738	1.2822635e-06	0.0032978225	0.0008984375	0.017226562	79.0	12.738852	23.653559	23.653559	2683.6687519550323
21	-10.636781	14.199292	-1.0	-97.880325	256.0	0.0	256.0	256.0	-10.836588	6.939234	-7.2252307	-118.50086	563200	-7.152557e-09	-8.940697e-09	163.94203	-0.0010052413	-2.4035034	0.22232312	1.7705997	0.00029383067	0.002536687	0.00359375	0.013007812	79.0	12.175262	22.812044	22.812044	2816.737980365753
22	-11.485561	14.417754	-1.0	-65.29837	256.0	0.0	256.0	256.0	-10.80018	5.748504	-7.5369625	-87.73698	588800	7.450581e-09	7.7486035e-09	165.65535	-0.0012169337	-3.006195	0.23672153	1.7641083	0.0002659898	0.0036638982	0.005625	0.013632813	79.0	9.104953	20.590515	20.590515	2942.9905228614807
23	-10.266097	14.006032	-1.0	-93.26907	256.0	0.0	256.0	256.0	-11.334787	6.253364	-7.214161	-75.01047	614400	-9.536743e-09	-9.536743e-09	147.52112	-0.00094858406	-2.8611145	0.21881126	1.7277008	0.00016769196	0.0034178179	0.003515625	0.016796876	79.0	10.877563	21.14366	21.14366	3072.69597697258
24	-7.8948236	9.079802	-1.0	-57.983654	256.0	0.0	256.0	256.0	-9.646873	5.4974422	-6.498903	-81.41914	640000	-1.1920929e-09	5.9604643e-10	72.04729	-0.0009536916	-5.9980164	0.16327165	1.7554551	0.00010642692	0.0031429357	0.005390625	0.008203125	79.0	10.0234375	17.918262	17.918262	3202.5637741088867
25	-6.566258	7.2638354	-1.0	-50.761063	256.0	0.0	256.0	256.0	-7.538792	2.6229694	-5.5538235	-40.859127	665600	-1.1920929e-09	-1.1920929e-09	48.902706	-0.00085608126	-1.3421288	0.12502387	1.7275151	-3.44744e-05	0.0035273852	0.0051953127	0.026953125	79.0	4.0724864	10.638744	10.638744	3328.684306383133
26	-8.295213	9.087663	-1.0	-53.938488	256.0	0.0	256.0	256.0	-6.8046217	2.8885925	-4.961811	-44.806175	691200	-5.9604646e-09	-4.7683715e-09	75.312294	-0.0008479345	-2.9141846	0.16240887	1.7028253	0.0002015353	0.0025204397	0.002578125	0.016367188	79.0	11.892242	20.187456	20.187456	3460.889853477478
27	-10.147444	11.819259	-1.0	-64.88025	256.0	0.0	256.0	256.0	-8.761359	5.4207187	-6.1657443	-83.407425	716800	-1.4305114e-08	-1.4305114e-08	114.43881	-0.0011590958	-2.7011719	0.19507313	1.7091608	0.0001320761	0.0049259183	0.0069921874	0.021171875	79.0	11.917179	22.06462	22.06462	3591.8433294296265
28	-10.309108	14.079672	-1.0	-71.639725	256.0	0.0	256.0	256.0	-10.244637	5.432264	-7.124282	-82.595856	742400	-7.152557e-09	-5.9604646e-09	152.18759	-0.0015212995	-4.7657166	0.19588605	1.6638999	0.0001820817	0.0048690564	0.0045703123	0.0325	79.0	13.822256	24.131363	24.131363	3721.3768005371094
29	-10.3009815	10.747069	-1.0	-54.38477	256.0	0.0	256.0	256.0	-10.17694	5.8496704	-5.851099	-63.346863	768000	1.4901161e-09	1.4901161e-09	98.20847	-0.0012709206	-3.0735626	0.19570717	1.6193439	0.00015515821	0.0027022057	0.0057421876	0.014804687	79.0	12.423186	22.724165	22.724165	3852.3719515800476
30	-8.385959	10.525539	-1.0	-51.48831	256.0	0.0	256.0	256.0	-10.099276	4.3086233	-5.703462	-53.832996	793600	4.172325e-09	5.3644182e-09	91.07754	-0.00055740774	-4.0334167	0.16547543	1.6393747	-9.69116e-05	0.004451043	0.000390625	0.025234375	79.0	11.674106	20.060064	20.060064	3978.225259542465
