Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
19	-19.4158	15.702945	-1.040327	-73.83476	256.0	0.0	256.0	256.0	-17.56728	7.274818	-14.413043	-76.00688	512000	-5.9604646e-09	191.01337	-0.0006823951	-4.4111023	0.3462048	2.2622986	0.0013317313	0.0	0.0178125	0.0	79.0	5.116565	24.532364	24.532364	3239.393784046173
20	-20.220226	18.514652	-1.0	-118.40592	256.0	0.0	256.0	256.0	-19.760035	8.529415	-15.689515	-101.37688	537600	-1.1920929e-09	255.47711	-0.0008397126	-1.5629883	0.37122047	2.2730198	0.002640425	0.0	0.035546876	0.0	79.0	3.4333346	23.653559	23.653559	3398.009169816971
21	-17.97425	13.858292	-1.0	-65.943596	256.0	0.0	256.0	256.0	-19.649414	8.239399	-15.995042	-76.1201	563200	-4.7683715e-09	167.9834	-0.00072749914	-9.133453	0.30582973	2.2674763	0.0006009068	0.0	0.015976563	0.0	79.0	4.83779	22.812044	22.812044	3560.6881482601166
22	-16.910507	13.110194	-1.0152588	-63.784004	256.0	0.0	256.0	256.0	-17.700388	5.0222826	-15.501659	-61.053555	588800	-4.172325e-09	143.32385	-0.0004802841	-1.3380737	0.30388543	2.2717133	0.0007025667	0.0	0.008867187	0.0	79.0	3.6800065	20.590515	20.590515	3719.316721200943
23	-17.762747	14.535739	-1.1275173	-73.511925	256.0	0.0	256.0	256.0	-17.130772	6.1733365	-14.325481	-65.93533	614400	-2.9802323e-09	164.54709	-0.0006513852	-1.5868683	0.31125045	2.2604203	0.0006550729	0.0	0.010351563	0.0	79.0	3.3809135	21.14366	21.14366	3879.7908551692963
24	-17.24136	11.99121	-1.8980209	-57.44009	256.0	0.0	256.0	256.0	-17.468664	6.3075447	-14.516918	-80.332466	640000	-4.172325e-09	125.29958	-0.0006375554	-3.016594	0.31142744	2.281707	0.0017035124	0.0	0.020507812	0.0	79.0	0.6769026	17.918262	17.918262	4036.9299778938293
25	-13.187041	9.886615	-1.2361798	-48.313168	256.0	0.0	256.0	256.0	-16.608494	3.2269948	-14.956547	-49.88034	665600	1.07288365e-08	94.97841	-0.00031976702	-12.231232	0.22293	2.2871094	0.0003537121	0.0	0.011132812	0.0	79.0	-2.548298	10.638744	10.638744	4199.488983869553
26	-19.485222	15.899171	-1.0	-80.19249	256.0	0.0	256.0	256.0	-14.24417	5.90964	-11.43298	-62.6804	691200	4.7683715e-09	226.96786	-0.00048114063	-30.674469	0.3092641	2.2613027	0.0004947122	0.0	0.019804688	0.0	79.0	0.70223546	20.187456	20.187456	4363.539343833923
27	-16.458931	13.743672	-1.7153305	-65.17315	256.0	0.0	256.0	256.0	-18.994287	6.3050694	-16.247885	-71.809975	716800	9.536743e-09	165.71703	-0.0006092376	-7.993866	0.2679735	2.2689264	0.001443719	0.0	0.0165625	0.0	79.0	5.6056895	22.06462	22.06462	4523.390718460083
28	-18.47459	14.900492	-1.0111955	-62.25866	256.0	0.0	256.0	256.0	-16.8711	6.708275	-13.8907385	-66.786476	742400	2.3841857e-09	172.00975	-0.0006734639	-3.5817108	0.2833736	2.2658165	0.0011881028	0.0	0.015273438	0.0	79.0	5.6567726	24.131363	24.131363	4686.526530742645
29	-18.58277	15.765001	-1.7248511	-87.59188	256.0	0.0	256.0	256.0	-18.689045	7.6598363	-15.135914	-77.15311	768000	2.3841857e-09	188.83476	-0.0009960592	-0.9949646	0.309092	2.2672646	0.000778161	0.0	0.020234374	0.0	79.0	4.1413965	22.724165	22.724165	4847.423605918884
30	-15.141766	13.644113	-1.0	-68.91653	256.0	0.0	256.0	256.0	-18.007109	6.7579174	-15.18702	-66.4077	793600	3.5762786e-09	159.85901	-0.0008389306	-9.295441	0.2569726	2.275181	0.0006404937	0.0	0.0077734375	0.0	79.0	4.9182982	20.060064	20.060064	5013.432849407196
31	-16.559423	14.433219	-1.0497897	-72.434235	256.0	0.0	256.0	256.0	-15.266418	6.394443	-12.320456	-69.50525	819200	-1.1920929e-08	162.8536	-0.0005737352	-2.2736206	0.26146027	2.284798	0.00015178396	0.0	0.008359375	0.0	79.0	1.1783887	17.737812	17.737812	5177.959296941757
32	-17.752525	13.744714	-1.0	-60.7899	256.0	0.0	256.0	256.0	-16.674648	6.494971	-13.627431	-61.708153	844800	1.1920929e-08	158.29852	-0.0009487176	-2.1696014	0.29179794	2.2680786	0.0016202233	0.0	0.02125	0.0	79.0	5.7258415	23.478367	23.478367	5346.0081923007965
33	-17.364388	13.468916	-1.8444505	-81.314095	256.0	0.0	256.0	256.0	-17.662716	5.674659	-15.029101	-66.05086	870400	-4.7683715e-09	149.9167	-0.0010208142	-0.44432068	0.2647854	2.268585	0.0025127507	0.0	0.028398437	0.0	79.0	2.3429163	19.707302	19.707302	5508.814155340195
34	-15.023495	12.189186	-1.0	-48.762474	256.0	0.0	256.0	256.0	-17.201578	5.6004014	-14.74461	-56.72381	896000	1.9073486e-08	125.37529	-0.000566752	-5.356674	0.23486497	2.2688801	0.00081855943	0.0	0.010429688	0.0	79.0	5.3066754	20.330172	20.330172	5675.2181391716
35	-17.908531	14.857498	-1.0010685	-81.68251	256.0	0.0	256.0	256.0	-15.513725	6.312398	-12.56297	-70.0775	921600	0.0	184.82204	-0.00082005264	-6.4622955	0.26189584	2.2708979	0.0014868006	0.0	0.023632813	0.0	79.0	6.444585	24.353117	24.353117	5840.713015794754
36	-17.259283	11.448308	-1.0	-49.18448	256.0	0.0	256.0	256.0	-17.721672	5.629111	-15.026972	-58.17842	947200	2.3841857e-09	107.333015	-0.00064097764	-1.1090469	0.24549492	2.2558677	0.00052345335	0.0	0.009960937	0.0	79.0	6.02356	23.282843	23.282843	6008.287445783615
37	-15.438651	12.540173	-1.0	-64.31004	256.0	0.0	256.0	256.0	-16.862726	4.64483	-14.661335	-51.13367	972800	4.7683715e-09	130.20227	-0.0006033647	-2.8916855	0.21485472	2.280948	0.0008017953	0.0	0.014296875	0.0	79.0	0.009598541	15.448251	15.448251	6173.02942943573
38	-15.654161	11.702716	-1.4501281	-50.036766	256.0	0.0	256.0	256.0	-15.515926	5.861455	-12.942783	-60.844658	998400	-1.1920929e-09	111.96189	-0.00090051175	-0.9762268	0.22175552	2.2612345	0.0012320302	0.0	0.017890625	0.0	79.0	4.626161	20.280323	20.280323	6337.389776229858
39	-17.23973	12.638916	-1.0012612	-67.56212	256.0	0.0	256.0	256.0	-15.929011	5.41019	-13.397279	-50.357388	1024000	5.9604643e-10	131.85567	-0.0006451261	-2.376114	0.24459103	2.275211	0.0018290165	0.0	0.019296875	0.0	79.0	6.898664	24.138395	24.138395	6504.076471567154
