Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
18	-446.0246	239.17734	-144.40619	-1645.739	256.0	0.0	256.0	256.0	-431.8633	114.31811	-351.67978	-1636.4469	486400	0.22761776	40219.316	-0.0029088557	-554.3906	2.2210584	2.5778883	0.015569801	3.1664968e-10	0.25015625	0.0	62.0	-394.72226	51.302338	51.302338	2778.6719670295715
19	-415.34122	205.51398	-114.35474	-1216.3917	256.0	0.0	256.0	256.0	-444.76077	122.78029	-357.4382	-1406.5708	512000	0.24155411	29378.633	-0.0024932176	-1110.2383	2.1450067	2.5817726	0.015179727	6.3143673e-09	0.15179688	0.0	56.0	-367.16327	48.177963	48.177963	2930.1050775051117
20	-367.57578	180.4737	-105.38139	-997.7912	256.0	0.0	256.0	256.0	-402.6715	97.392265	-339.5724	-1432.506	537600	0.23723362	22894.947	-0.001722306	-1308.75	1.932507	2.5790591	0.012217449	9.8068265e-09	0.1271875	0.0	79.0	-305.02005	62.555763	62.555763	3097.43217754364
21	-370.8057	226.03488	-68.20149	-1689.3446	256.0	0.0	256.0	256.0	-367.6271	111.980965	-299.80328	-1612.1755	563200	0.2029792	35685.31	-0.0020818412	-187.82031	1.9752978	2.5810819	0.01598527	4.3259933e-09	0.12632813	0.0	42.0	-324.03406	46.771626	46.771626	3239.968747615814
22	-317.0464	123.096664	-98.983284	-738.9744	256.0	0.0	256.0	256.0	-363.9526	87.76157	-302.5355	-1283.826	588800	0.26019326	13885.577	-0.0009571612	-2739.6875	1.9507428	2.5783727	0.015492575	3.8137657e-09	0.13890626	0.0	46.0	-256.71857	60.327835	60.327835	3386.877634048462
23	-327.97238	158.69708	-105.34222	-897.4969	256.0	0.0	256.0	256.0	-317.0577	79.912094	-268.69196	-1124.7443	614400	0.22420932	19181.34	-0.0021344721	-164.6289	1.9774884	2.5817087	0.015587241	6.412156e-09	0.18917969	0.0	67.0	-276.66232	51.31008	51.31008	3546.5930783748627
24	-307.70554	120.600624	-84.427574	-645.85956	256.0	0.0	256.0	256.0	-321.8752	55.98462	-280.69772	-814.624	640000	0.24805939	11138.171	-0.0021632314	-234.1748	1.9333236	2.5814295	0.015431087	8.665957e-09	0.12808594	0.0	64.0	-250.97446	56.731075	56.731075	3702.9014842510223
25	-301.05682	118.972115	-104.00112	-778.58246	256.0	0.0	256.0	256.0	-305.3851	59.532295	-264.73853	-1103.159	665600	0.2404187	11875.247	-0.0012906343	-127.5293	1.8136128	2.5812218	0.018076213	7.869676e-09	0.16429688	0.0	20.0	-249.67479	51.382065	51.382065	3832.558377981186
26	-278.12363	117.70562	-110.881386	-701.463	256.0	0.0	256.0	256.0	-298.09027	52.72217	-263.18527	-927.7319	691200	0.23455642	11170.816	-0.0021540374	-494.31934	1.7840048	2.5827441	0.015537904	1.2260862e-08	0.12859374	0.0	46.0	-227.43326	50.6904	50.6904	3976.742476463318
27	-290.7036	153.57816	-73.58962	-1039.9116	256.0	0.0	256.0	256.0	-282.82483	76.956726	-240.26534	-1110.6288	716800	0.19626552	15426.272	-0.0025079101	-316.69238	1.7655768	2.5829194	0.019954216	1.0761433e-08	0.17417969	0.0	18.0	-242.69684	48.006786	48.006786	4105.039700269699
28	-295.8979	131.7669	-76.07898	-764.3885	256.0	0.0	256.0	256.0	-289.9775	65.40364	-245.6119	-850.82465	742400	0.23885503	12839.12	-0.0029848963	-153.91406	1.8268166	2.584887	0.01775887	4.5681374e-09	0.15675782	0.0	14.0	-252.17004	43.727867	43.727867	4233.493907928467
29	-287.01715	131.39423	-97.55417	-862.7017	256.0	0.0	256.0	256.0	-291.45712	73.29555	-246.34138	-1059.5511	768000	0.2322562	12608.784	-0.0022313446	-55.17285	1.8282834	2.5811079	0.017776182	9.532086e-09	0.1509375	0.0	16.0	-247.46733	39.54981	39.54981	4359.531439781189
30	-259.44965	88.08451	-106.38959	-613.4679	256.0	0.0	256.0	256.0	-281.14044	54.35749	-241.3724	-867.789	793600	0.25490043	7574.7656	-0.0019006133	-867.03174	1.8469592	2.5793111	0.016700637	1.3499521e-08	0.13863282	0.0	32.0	-201.60974	57.83993	57.83993	4497.247715711594
31	-249.27997	92.76256	-70.90382	-574.845	256.0	0.0	256.0	256.0	-259.43906	39.42828	-229.25885	-605.405	819200	0.24055424	6756.9126	-0.0009250492	-131.30371	1.8702307	2.5779312	0.0059651947	-1.7643906e-08	0.072695315	0.0	79.0	-200.91748	48.362484	48.362484	4664.940322399139
32	-251.04611	100.347664	-64.355774	-535.20123	256.0	0.0	256.0	256.0	-253.2329	47.30152	-219.40054	-665.0631	844800	0.23875943	7774.1025	-0.0012648255	-37.388184	1.8806927	2.580243	0.016648363	1.3611279e-08	0.18835938	0.0	43.0	-198.60085	52.445312	52.445312	4807.007215261459
33	-259.42657	110.31506	-95.68659	-704.4017	256.0	0.0	256.0	256.0	-248.41331	50.94849	-213.86923	-715.487	870400	0.2306097	9922.392	-0.002535686	-139.66699	1.7605802	2.5814004	0.022275686	3.46452e-09	0.20765625	0.0	11.0	-215.51303	43.913555	43.913555	4927.234918832779
34	-247.47	111.798515	-80.35981	-797.6639	256.0	0.0	256.0	256.0	-259.56717	49.735504	-223.56079	-909.3114	896000	0.22773021	9751.903	-0.0016549826	-168.56836	1.7461641	2.5863135	0.018540895	5.2666294e-09	0.24367188	0.0	12.0	-200.00587	47.46408	47.46408	5049.541793584824
35	-247.38837	111.897995	-99.08251	-731.838	256.0	0.0	256.0	256.0	-247.72845	54.84888	-211.02785	-883.4089	921600	0.22287218	9717.723	-0.0007328093	-74.56348	1.6358222	2.5757837	0.008044766	-1.2409873e-08	0.09800781	0.0	79.0	-195.70613	51.68222	51.68222	5213.736030578613
36	-239.40361	116.43515	-80.44271	-781.50464	256.0	0.0	256.0	256.0	-247.53015	52.036476	-214.48413	-1014.0385	947200	0.21483387	10111.919	-0.0020640194	-232.7998	1.6092172	2.5740368	0.017206548	7.21775e-09	0.14972657	0.0	22.0	-180.25299	59.150665	59.150665	5340.154284477234
