Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
18	-19.906746	17.408394	-1.1486758	-108.5969	256.0	0.0	256.0	256.0	-24.217049	8.980883	-20.005463	-102.06944	486400	-1.4305114e-08	-1.3113022e-08	265.93652	-0.0009789478	-23.917114	0.4163009	2.281673	0.00015239062	0.0	0.0067578126	0.0	79.0	-4.244179	15.662568	15.662568	3221.1110050678253
19	-23.726723	22.743277	-1.0419565	-107.569466	256.0	0.0	256.0	256.0	-20.57761	10.322342	-16.512226	-129.11316	512000	-5.9604643e-10	-2.3841857e-09	397.8778	-0.0009269339	-16.556213	0.45001334	2.261165	0.00091944484	0.0	0.00296875	0.0	79.0	0.8056355	24.532364	24.532364	3390.86350440979
20	-22.694363	22.499796	-1.0	-105.015976	256.0	0.0	256.0	256.0	-23.77288	10.802579	-18.358	-118.81957	537600	-8.34465e-09	-8.34465e-09	376.97327	-0.0017452907	-2.6056824	0.46933854	2.2689772	0.0011475218	0.0	0.01171875	0.0	79.0	0.9591959	23.653559	23.653559	3555.17333316803
21	-21.380556	18.828274	-1.0000283	-84.46708	256.0	0.0	256.0	256.0	-22.627066	11.738968	-16.35718	-114.12755	563200	5.9604643e-10	-1.7881393e-09	293.07138	-0.0009356862	-12.471161	0.43395555	2.2693157	0.00024421723	0.0	0.0020703124	0.0	79.0	1.4314885	22.812044	22.812044	3720.5826926231384
22	-20.60523	17.723368	-1.0152588	-77.72599	256.0	0.0	256.0	256.0	-21.102041	7.688109	-16.596992	-83.077484	588800	5.9604646e-09	5.9604646e-09	250.23117	-0.0015190917	-1.9703064	0.4364624	2.2708611	0.00094894046	0.0	0.012578125	0.0	79.0	-0.014713974	20.590515	20.590515	3887.3159346580505
23	-20.904541	20.006826	-1.1275173	-107.1872	256.0	0.0	256.0	256.0	-20.82448	9.151606	-15.734187	-114.244255	614400	1.7881393e-09	1.1920929e-09	292.8559	-0.0011493992	-3.6021423	0.41561615	2.2611167	0.00080371695	0.0	0.0075	0.0	79.0	0.23911686	21.14366	21.14366	4053.9511659145355
24	-21.557035	17.325945	-1.9529922	-98.984436	256.0	0.0	256.0	256.0	-20.57871	9.694942	-15.152046	-114.17744	640000	8.34465e-09	8.34465e-09	252.06548	-0.0004508543	-6.7512054	0.40941268	2.279955	4.0631097e-05	0.0	0.001015625	0.0	79.0	-3.6387744	17.918262	17.918262	4218.944235801697
25	-15.939389	14.677944	-1.2352501	-83.252205	256.0	0.0	256.0	256.0	-20.538857	4.7739964	-16.738693	-65.57916	665600	-4.7683715e-09	-4.7683715e-09	194.01418	-0.0011405087	-25.093918	0.32015908	2.2892337	0.00047373332	0.0	0.0042578126	0.0	79.0	-5.3006477	10.638744	10.638744	4384.508815288544
26	-21.882605	18.875881	-1.0	-89.55945	256.0	0.0	256.0	256.0	-17.623417	9.839889	-12.334021	-109.22185	691200	-4.7683715e-09	-4.7683715e-09	289.8536	-0.0014577627	-19.187408	0.43995744	2.2586176	0.00047497396	0.0	0.0073046875	0.0	79.0	-1.6951509	20.187456	20.187456	4548.3911809921265
27	-20.36365	18.840387	-1.7104539	-102.32939	256.0	0.0	256.0	256.0	-21.694456	9.226336	-16.728607	-98.545715	716800	4.7683715e-09	3.5762786e-09	265.9344	-0.0007093215	-3.452362	0.3971666	2.2678459	0.00011335412	0.0	0.0040625	0.0	79.0	1.7009736	22.06462	22.06462	4717.397894859314
